ID,ES Score,OkapiTF Score,TFIDF Score,BM25 Score,Laplace Score,JM Score,Label
54-AP890105-0043,12.458975,1.103991,1.69374,4.224806,-82.897474,0.021579,0
54-AP890118-0257,11.82695,1.780702,2.139188,6.562896,-81.043154,0.018306,0
54-AP890121-0007,6.00825,0.609756,0.825027,2.130997,-83.814413,0.010204,0
54-AP890121-0147,13.71833,1.419335,2.381429,5.687695,-81.32923,0.059931,0
54-AP890123-0096,8.090783,0.80756,1.092665,2.346356,-83.590441,0.040629,0
54-AP890123-0136,14.741435,1.525664,2.512177,6.199017,-80.519666,0.048179,0
54-AP890123-0258,17.833458,2.487841,3.305255,9.162765,-79.538145,0.032238,0
54-AP890124-0087,12.163682,1.746153,2.645766,6.522181,-81.510899,0.033238,0
54-AP890124-0268,18.677353,2.008532,2.990142,7.304411,-80.700062,0.04405,0
54-AP890126-0109,6.562043,0.683643,0.924999,2.163949,-83.813957,0.015935,0
54-AP890130-0042,5.844367,1.346766,1.897942,6.099043,-81.737332,0.013164,0
54-AP890213-0148,9.433018,1.133455,1.528239,3.845253,-82.561322,0.025629,0
54-AP890214-0100,15.620567,1.510974,2.42579,5.821215,-81.46271,0.039915,0
54-AP890214-0145,15.696054,1.464237,2.379583,6.053634,-80.953416,0.032054,0
54-AP890216-0090,13.888552,1.918281,3.187673,7.099837,-81.615047,0.057233,0
54-AP890217-0114,15.249288,1.634819,2.646908,5.979163,-81.328392,0.067793,0
54-AP890226-0013,20.232063,2.062615,3.204654,7.113494,-81.104206,0.072058,0
54-AP890228-0015,13.620548,1.251179,1.889216,4.601265,-82.022088,0.048757,0
54-AP890302-0065,15.226071,1.421941,2.2167,5.257559,-81.798768,0.049159,0
54-AP890302-0145,15.081926,1.395544,2.190834,5.133009,-82.155246,0.040364,0
54-AP890304-0146,14.223106,1.874187,2.800768,5.763125,-82.202197,0.06986,0
54-AP890307-0096,13.297007,1.256549,1.917449,4.499391,-82.427118,0.042008,0
54-AP890307-0258,5.293513,0.448199,0.606434,1.412214,-84.50697,0.006828,0
54-AP890309-0227,8.342109,1.58829,2.173012,6.378952,-81.512533,0.019446,0
54-AP890311-0082,14.047436,1.546672,2.519583,6.256111,-80.483516,0.04139,0
54-AP890313-0024,14.788798,1.385787,2.21061,5.946774,-80.954388,0.025518,0
54-AP890313-0078,12.628943,1.223833,1.962389,5.775472,-81.179031,0.016961,0
54-AP890314-0036,15.127605,1.399516,2.279253,6.124107,-80.639383,0.02591,0
54-AP890316-0043,14.948669,1.426004,2.276264,4.8627,-82.714116,0.048098,0
54-AP890316-0289,2.454661,0.387066,0.315759,0.808380,-61.016726,0.005370,0
54-AP890317-0096,5.421047,1.244989,2.113832,4.937811,-82.42719,0.040103,0
54-AP890318-0078,15.487835,1.470396,2.307453,5.635248,-81.329355,0.046885,0
54-AP890320-0291,11.280518,1.313111,1.95298,6.933623,-81.334101,0.011871,0
54-AP890322-0163,7.272551,0.743953,1.006602,2.477796,-83.254921,0.018004,0
54-AP890324-0106,14.4925,1.281944,2.041475,4.798348,-82.714779,0.026853,0
54-AP890325-0018,12.237194,1.385115,2.241701,5.783304,-81.463838,0.026491,0
54-AP890325-0027,6.357019,1.443045,2.325027,4.644339,-83.001446,0.067296,0
54-AP890327-0179,8.543629,1.357914,1.858303,5.810567,-82.023897,0.012924,0
54-AP890328-0140,7.968096,0.824651,1.07686,3.274827,-83.122253,0.009531,0
54-AP890330-0035,16.753569,2.129209,2.86301,8.011756,-80.636214,0.025629,0
54-AP890421-0098,5.566335,0.711248,0.864432,2.074725,-83.591015,0.016758,0
54-AP890421-0104,3.880139,0.422996,0.514098,1.259004,-84.507084,0.005874,0
54-AP890422-0063,14.232961,1.337153,2.068647,5.230195,-81.704235,0.037364,0
54-AP890424-0010,8.648068,0.797732,1.261705,4.907357,-82.719884,0.006546,0
54-AP890428-0088,8.470973,1.292471,2.18349,5.580891,-81.463859,0.035676,0
54-AP890511-0054,15.343441,1.660696,2.659428,6.212664,-80.636021,0.065222,0
54-AP890516-0227,20.843578,1.934436,2.685218,7.309044,-80.482955,0.029989,0
54-AP890520-0118,15.545503,1.51636,2.429577,5.997181,-81.05798,0.037996,0
54-AP890521-0067,15.697183,1.472976,2.313779,5.217983,-82.021384,0.057352,0
54-AP890523-0152,3.588689,0.50746,0.713786,2.675605,-83.816093,0.004342,0
54-AP890523-0172,15.906021,1.491942,2.37048,5.02436,-82.4909,0.063129,0
54-AP890524-0098,3.588689,0.612485,0.794344,2.985527,-83.411207,0.005521,0
54-AP890525-0037,15.487835,1.447508,2.272974,5.603233,-81.416459,0.041943,0
54-AP890526-0048,16.001814,1.495306,2.363077,5.578218,-81.616498,0.047772,0
54-AP890526-0153,15.697183,1.489065,2.335548,5.262592,-81.9036,0.063654,0
54-AP890527-0082,13.440466,1.385668,2.270117,5.136822,-82.491398,0.038129,0
54-AP890601-0153,0.143993,1.285884,2.11238,4.144295,-83.406911,0.050629,0
54-AP890608-0155,15.236903,1.382759,2.227894,4.622379,-83.001653,0.046783,0
54-AP890609-0266,18.631578,2.178697,2.929619,7.416217,-81.327394,0.028068,0
54-AP890610-0088,15.884253,1.570459,2.547849,6.109982,-80.952257,0.046361,0
54-AP890610-0113,15.751017,1.459192,2.316312,5.010855,-82.491045,0.052955,0
54-AP890612-0180,13.726623,1.911617,3.176867,7.096887,-81.615078,0.056185,0
54-AP890614-0101,17.617376,1.772804,2.74328,7.33003,-79.914724,0.037074,0
54-AP890615-0012,15.54316,1.547054,2.497929,6.180065,-80.701791,0.039501,0
54-AP890621-0088,9.32275,1.086552,1.413548,5.017042,-82.430521,0.008939,0
54-AP890622-0278,11.857281,2.049476,3.062579,6.438381,-81.732271,0.075629,0
54-AP890704-0082,15.768513,1.506463,2.394527,5.030171,-82.490838,0.068811,0
54-AP890714-0191,8.950064,1.842702,2.434679,8.054623,-80.234759,0.017718,0
54-AP890715-0030,3.588689,0.758863,1.077576,4.04915,-83.123783,0.006171,0
54-AP890715-0078,13.075247,1.20192,1.86172,5.060222,-82.023382,0.022264,0
54-AP890720-0066,3.957722,1.251658,1.57259,5.380394,-82.024952,0.011163,0
54-AP890728-0083,3.424768,1.03524,1.395497,3.647089,-82.897929,0.017445,0
54-AP890731-0245,9.033764,1.057774,1.400403,3.261,-83.40774,0.018629,0
54-AP890803-0313,8.884058,0.820725,1.534218,3.375558,-83.408238,0.038894,0
54-AP890808-0024,13.395817,1.364059,2.247831,5.255832,-82.309407,0.035169,0
54-AP890808-0040,12.446266,1.209836,1.980604,5.379158,-82.023599,0.018647,0
54-AP890808-0139,14.490335,1.360809,2.166312,5.813854,-81.213403,0.024763,0
54-AP890809-0033,15.707525,1.529006,2.4284,6.102975,-80.616861,0.041343,0
54-AP890810-0119,14.236985,1.340825,2.220926,4.487855,-83.119291,0.059453,0
54-AP890811-0073,8.655549,1.468392,2.400213,5.171437,-82.491004,0.055507,0
54-AP890811-0116,9.014104,1.558645,2.55062,5.336744,-82.308423,0.092734,0
54-AP890813-0008,16.703667,1.632733,2.604406,5.83554,-81.392785,0.075629,0
54-AP890814-0230,12.129131,1.714383,2.419672,7.451743,-80.703403,0.019072,0
54-AP890816-0232,21.75524,2.557251,3.581675,9.890978,-78.558765,0.04085,0
54-AP890817-0091,15.236903,1.470005,2.388736,4.977156,-82.71394,0.061113,0
54-AP890817-0184,18.050303,2.504506,3.405997,9.734541,-79.133819,0.030137,0
54-AP890818-0039,14.87408,1.505819,2.452737,5.831225,-81.511386,0.042086,0
54-AP890820-0038,13.981351,1.57372,2.506148,5.531676,-81.867046,0.067461,0
54-AP890821-0070,14.85785,1.408872,2.269967,5.493648,-81.981349,0.031398,0
